Class,x,y
1,0.44915,0.43686
1,0.037043,0.33935
1,0.28286999999999995,0.39069
0,-0.40339,-0.44493999999999995
1,0.12257,0.12646
0,-0.18587,-0.48983999999999994
1,0.35115999999999997,0.34661
0,-0.26973,-0.47736999999999996
0,-0.25014000000000003,-0.035202
0,-0.16709000000000002,-0.08062000000000001
0,-0.47403,-0.16403
1,0.034489,0.14245
1,0.08243500000000001,0.45141000000000003
0,-0.45141000000000003,-0.1332
1,0.02727,0.10287
0,-0.025305,-0.36653
1,0.39683,0.18082
0,-0.28049,-0.36875
0,-0.45557,-0.45347
0,-0.46823000000000004,-0.22616999999999998
1,0.21028000000000002,0.17849
0,-0.32916,-0.07746900000000001
1,0.49151999999999996,0.19266
0,-0.19433,-0.1492
1,0.075043,-0.021144999999999997
1,0.31648000000000004,0.020516
0,-0.017371,-0.046979
1,0.45658000000000004,0.049879
0,-0.18865,-0.35054
1,0.26523,0.24444000000000002
1,0.42386999999999997,0.3867
0,-0.17586,-0.49721000000000004
1,0.23440999999999998,0.21183000000000002
0,-0.13130999999999998,-0.15824000000000002
0,-0.11435,-0.1894
1,0.32623,0.22876
0,-0.013328,-0.49977
0,-0.17727,-0.43493000000000004
0,-0.18073,-0.25590999999999997
0,-0.15528,-0.40164
1,0.48148,0.42996999999999996
1,0.083392,0.016991
0,-0.2596,-0.34705
0,-0.21395,-0.20801999999999998
1,0.33923000000000003,0.1939
1,0.45214,0.29219
1,0.26778,0.41198999999999997
0,-0.25138,-0.11478
1,0.05136,0.07996900000000001
0,-0.4332,-0.051661
1,0.046357,0.4232
0,-0.4739,-0.21570999999999999
0,-0.30874,-0.1572
1,0.47336999999999996,0.39683
0,-0.40641,-0.35039000000000003
1,0.42031999999999997,0.45871000000000006
1,0.35520999999999997,0.40546
0,-0.44365,-0.37585999999999997
1,0.21638000000000002,0.16493
1,0.049545,0.17612
0,-0.27337,-0.48012
0,-0.028441,-0.30908
1,0.19064,0.050239
1,0.26700999999999997,0.029331
1,0.3201,0.33914
1,0.23981,0.12647
0,-0.31245,-0.24985
0,-0.004403100000000001,-0.15728
1,0.014629,0.40057
1,0.49373,0.1027
0,-0.46981999999999996,-0.49643999999999994
1,0.25551,0.3284
1,0.41738000000000003,-0.053226
1,0.31723,0.13299
0,-0.049122000000000006,-0.064684
0,-0.27187,-0.2624
0,-0.040537000000000004,-0.42145
0,-0.27291,-0.094171
0,-0.20509000000000002,-0.34863
0,-0.22566,-0.032266
0,-0.26814,-0.13605
1,0.44759,0.014237999999999999
0,-0.29479,-0.12424
1,0.40159,0.48249
0,-0.0050673,-0.29741999999999996
0,-0.30295,-0.47608999999999996
1,0.08955199999999999,-0.057223
0,-0.080103,-0.13552
1,0.19952999999999999,-0.063448
1,0.16025999999999999,0.30582
1,0.23923000000000003,-0.009329
1,0.4366,0.43306000000000006
1,0.34439000000000003,0.26764
1,0.20404,-0.069548
0,-0.38436,-0.17881
1,0.051836,0.45181000000000004
0,-0.30926,-0.032748
1,0.24771999999999997,0.4504
0,-0.027358999999999998,-0.033688
0,-0.057478999999999995,-0.37468
